Model_masked,Category,Part_Family,count,share
AAA63,Others,Fasteners / Hardware,3,0.5
AAA63,Others,Not Specified,2,0.3333333333333333
AAA63,Others,Other Parts,1,0.16666666666666666
AAA63,Shaft Seal,Fasteners / Hardware,1,0.14285714285714285
AAA63,Shaft Seal,Shaft Seal / O-ring,6,0.8571428571428571
AAA63,Sound & Vibration,Piston / Liner / Ring Set,14,1.0
AAA63,Valves & Solenoids,Delivery / Discharge Valve,1,0.14285714285714285
AAA63,Valves & Solenoids,K5 Valve,1,0.14285714285714285
AAA63,Valves & Solenoids,Not Specified,3,0.42857142857142855
AAA63,Valves & Solenoids,Other Parts,1,0.14285714285714285
AAA63,Valves & Solenoids,Piston / Liner / Ring Set,1,0.14285714285714285
AAA72,Cylinder & Overheating,Buffer Spring,2,0.05714285714285714
AAA72,Cylinder & Overheating,Delivery / Discharge Valve,10,0.2857142857142857
AAA72,Cylinder & Overheating,Not Specified,2,0.05714285714285714
AAA72,Cylinder & Overheating,Other Parts,1,0.02857142857142857
AAA72,Cylinder & Overheating,Piston / Liner / Ring Set,19,0.5428571428571428
AAA72,Cylinder & Overheating,Temperature Sensor,1,0.02857142857142857
AAA72,Electrical & Instruments,Not Specified,1,0.07692307692307693
AAA72,Electrical & Instruments,Other Parts,3,0.23076923076923078
AAA72,Electrical & Instruments,Pressure Gauge,8,0.6153846153846154
AAA72,Electrical & Instruments,Pressure Switch / Cut-out,1,0.07692307692307693
AAA72,KRMS & Sensors,KRMS / Controller,9,0.375
AAA72,KRMS & Sensors,Other Parts,4,0.16666666666666666
AAA72,KRMS & Sensors,Temperature Sensor,11,0.4583333333333333
AAA72,Leaks (General),Fasteners / Hardware,2,0.3333333333333333
AAA72,Leaks (General),Not Specified,2,0.3333333333333333
AAA72,Leaks (General),Other Parts,2,0.3333333333333333
AAA72,Loading & Unloading,Solenoid Valve / Coil,2,1.0
AAA72,Major Mechanical,Major Mechanical Parts,2,0.2857142857142857
AAA72,Major Mechanical,Not Specified,1,0.14285714285714285
